feature_name,description,unit,source,engineered_or_raw,preprocessing_notes
region,Human-readable district or region name used in the final ML-ready table.,text,Merged district-level records after name canonicalization.,engineered,"Canonicalized district labels aligned across climate, soil, and crop inputs."
state,State name associated with the district row.,text,Merged district-level records after name canonicalization.,engineered,Used as fallback grouping key during imputation and for slice analysis.
region_key,Stable internal district identifier combining normalized state and district tokens.,text,Derived key from canonicalized district and state names.,engineered,"Primary join key across prepared climate, soil, and crop tables."
time,Monthly district-time key in YYYY-MM format.,YYYY-MM,Derived temporal index after alignment to monthly granularity.,engineered,Climate and crop sources are aligned to the same monthly period key.
temp_avg,Average temperature for the district-month.,degC,Prepared climate table built from weather data described in project references.,engineered,Aggregated from daily observations to a monthly mean.
rain_total,Total rainfall accumulated over the district-month.,mm,Prepared climate table built from district rainfall data.,engineered,Aggregated from daily rainfall observations to a monthly sum.
humidity_avg,Average relative humidity for the district-month.,percent,Prepared climate table built from weather data described in project references.,engineered,Aggregated from daily humidity observations to a monthly mean.
rain_variance,Variance of daily rainfall within the district-month.,mm^2,Prepared climate table built from district rainfall data.,engineered,Computed from daily rainfall after temporal aggregation.
max_temp,Maximum daily temperature observed within the district-month.,degC,Prepared climate table built from weather data described in project references.,engineered,Monthly maximum over daily maximum temperature values.
max_temp_3d,Peak 3-step rolling average of maximum temperature within the district-month.,degC,Prepared climate table built from weather data described in project references.,engineered,Computed as the maximum rolling mean over the daily max temperature series.
max_rain_1d,Maximum single-day rainfall observed within the district-month.,mm/day,Prepared climate table built from district rainfall data.,engineered,Monthly maximum over daily rainfall totals.
dry_spell_days,Longest run of low-rainfall days within the district-month.,days,Prepared climate table built from district rainfall data.,engineered,Counts the longest consecutive period with rainfall at or below the configured dry-spell threshold.
temp_lag_7,Coarse lag proxy for recent temperature conditions.,degC,Prepared climate table built from weather data described in project references.,engineered,"After monthly aggregation, the previous period temperature is reused as a compatibility proxy for a shorter lag."
rain_lag_14,Coarse lag proxy for recent rainfall conditions.,mm,Prepared climate table built from district rainfall data.,engineered,"After monthly aggregation, the previous period rainfall total is reused as a compatibility proxy for a shorter lag."
pH,Soil acidity or alkalinity indicator for the district.,pH,Prepared soil table derived from soil property sources described in project references.,engineered,Region-level mean after spatial alignment and numeric imputation.
N,District-level nitrogen proxy used by the model.,kg/ha proxy,Prepared soil table derived from soil property sources described in project references.,engineered,The internal prep report states these N values are proxy estimates rather than direct observed lab N measurements.
P,District-level phosphorus proxy used by the model.,kg/ha proxy,Prepared soil table derived from soil property sources described in project references.,engineered,The internal prep report states these P values are proxy estimates rather than direct observed lab P measurements.
K,District-level potassium proxy used by the model.,kg/ha proxy,Prepared soil table derived from soil property sources described in project references.,engineered,The internal prep report states these K values are proxy estimates rather than direct observed lab K measurements.
N_class,Categorical nitrogen status bucket.,category,Derived from N using configured nutrient bins.,engineered,"Binned into low, medium, or high categories before modeling."
P_class,Categorical phosphorus status bucket.,category,Derived from P using configured nutrient bins.,engineered,"Binned into low, medium, or high categories before modeling."
K_class,Categorical potassium status bucket.,category,Derived from K using configured nutrient bins.,engineered,"Binned into low, medium, or high categories before modeling."
soil_health_index,Simple composite soil support score used in the ML table.,0-100 index,Derived from pH and N/P/K proxies.,engineered,"Code comments explicitly describe this as a simple composite baseline, not an official scientific soil health card metric."
irrigation_index,Bounded management-context feature representing relative irrigation support.,0-1 index,Context defaults plus heuristic inference from climate and soil conditions.,engineered,"When not available from context defaults, inferred heuristically from rainfall, dry spells, humidity, heat, and soil support signals."
rotation_score,Bounded management-context feature representing crop-rotation suitability.,0-1 index,Context defaults plus heuristic inference from soil and climate conditions.,engineered,"Heuristic score built from soil health, nutrient balance, pH balance, and humidity when no direct value is available."
fertility_class,Categorical fertility summary token used in modeling and UI defaults.,category,Context defaults and derived soil support context.,engineered,Filled from configured defaults when not explicitly available.
state_context,Normalized state token retained as a model context feature.,text,Derived from state.,engineered,Lowercased string field used as categorical context during training and inference.
region_context,Normalized region token retained as a model context feature.,text,Derived from region_key.,engineered,Lowercased stable region identifier used as categorical context during training and inference.
target_month,Zero-padded month token extracted from the district-time key.,MM,Derived from the aligned time index.,engineered,Stored in the released CSV text as a zero-padded string token from 01 to 12.
target_season,Season label derived from the target month.,category,Derived from the aligned time index.,engineered,"Mapped to kharif, rabi, or zaid using the project season lookup."
time_step_missing,Indicator for rows introduced to complete missing district-time periods.,0/1 flag,Dataset quality metadata.,engineered,Set during time-grid completion before climate imputation.
climate_gap_filled,Indicator that climate values were filled or imputed for the row.,0/1 flag,Dataset quality metadata.,engineered,Tracks climate gaps originating in raw series or introduced during merge alignment.
soil_imputed,Indicator that at least one soil field required imputation.,0/1 flag,Dataset quality metadata.,engineered,"Triggered when soil values are missing and filled from district, state, or global summaries."
geo_confidence,Confidence score for the geographic alignment used during source joins.,0-1 score,Geographic canonicalization and merge metadata.,engineered,Average of available geo-confidence signals from prepared source tables.
data_confidence,Composite quality score summarizing interpolation and imputation burden for the row.,0-1 score,Dataset quality metadata.,engineered,"Computed from climate interpolation, soil imputation, missing time-step, and merge-imputation penalties."
crop_prob_arcanut_processed,Normalized district-time probability target for arcanut processed.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_arecanut,Normalized district-time probability target for arecanut.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_arhar_tur,Normalized district-time probability target for arhar tur.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_banana,Normalized district-time probability target for banana.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_black_pepper,Normalized district-time probability target for black pepper.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_cardamom,Normalized district-time probability target for cardamom.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_cashewnut,Normalized district-time probability target for cashewnut.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_castor_seed,Normalized district-time probability target for castor seed.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_coconut,Normalized district-time probability target for coconut.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_cond_spcs_other,Normalized district-time probability target for cond spcs other.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_coriander,Normalized district-time probability target for coriander.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_cotton_lint,Normalized district-time probability target for cotton lint.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_dry_chillies,Normalized district-time probability target for dry chillies.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_dry_ginger,Normalized district-time probability target for dry ginger.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_garlic,Normalized district-time probability target for garlic.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_ginger,Normalized district-time probability target for ginger.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_gram,Normalized district-time probability target for gram.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_groundnut,Normalized district-time probability target for groundnut.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_guar_seed,Normalized district-time probability target for guar seed.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_jowar,Normalized district-time probability target for jowar.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_maize,Normalized district-time probability target for maize.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_mango,Normalized district-time probability target for mango.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_mesta,Normalized district-time probability target for mesta.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_onion,Normalized district-time probability target for onion.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_other_fresh_fruits,Normalized district-time probability target for other fresh fruits.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_other_oilseeds,Normalized district-time probability target for other oilseeds.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_other_vegetables,Normalized district-time probability target for other vegetables.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_pineapple,Normalized district-time probability target for pineapple.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_potato,Normalized district-time probability target for potato.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_ragi,Normalized district-time probability target for ragi.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_rapeseed_and_mustard,Normalized district-time probability target for rapeseed and mustard.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_sannhamp,Normalized district-time probability target for sannhamp.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_sesamum,Normalized district-time probability target for sesamum.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_small_millets,Normalized district-time probability target for small millets.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_sugarcane,Normalized district-time probability target for sugarcane.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_sunflower,Normalized district-time probability target for sunflower.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_sweet_potato,Normalized district-time probability target for sweet potato.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_tapioca,Normalized district-time probability target for tapioca.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_tobacco,Normalized district-time probability target for tobacco.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_turmeric,Normalized district-time probability target for turmeric.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
crop_prob_wheat,Normalized district-time probability target for wheat.,probability,Prepared crop table derived from historical area or production records.,target,"Aggregated by district, month, and crop, then row-normalized so all crop_prob_* targets sum to 1."
